,date,from,to,condition
0,29-Jun-2022 (10:49:02),jl. jatinegara barat jaktim., , 
1,29-Jun-2022 (08:03:22),traffic light pasar rebo jakarta timur , , ramai lancar
2,29-Jun-2022 (06:21:16),traffic light pgc cililitan jaktim , arah jl. raya bogor , ramai lancar.
3,28-Jun-2022 (06:35:14),jl. raya bekasi cakung cilincing arah pulogadung., , 
4,27-Jun-2022 (19:04:48),traffic light halim lama jl. d.i panjaitan jaktim , arah cipinang , ramai lancar.
5,27-Jun-2022 (10:24:18),jl. mt haryono jaktim , arah pancoran , ramai lancar.
6,27-Jun-2022 (07:43:38),traffic light rindam jl. tb simatupang jaktim , , ramai lancar.
7,27-Jun-2022 (07:22:08),jl. pemuda rawamangun jaktim mulai dari traffic light arion s/d traffic light tugas mulai pukul 06.00 wib s/d 10.00 wib., , 
8,27-Jun-2022 (06:22:00),traffic light pgc cililitan jaktim , , ramai lancar.
9,27-Jun-2022 (06:11:28),traffic light kodim lama jatinegara jaktim. #opskepolisianpatuhjaya2022, , 
10,27-Jun-2022 (06:04:56),traffic light halim lama jaktim, , 
11,27-Jun-2022 (05:50:00),traffic light garuda jaktim , arah tmii maupun arah pinang ranti , ramai lancar.
12,26-Jun-2022 (07:33:49),traffic light rindam jl. tb simatupang jaktim , arah pasar rebo , ramai lancar.
13,26-Jun-2022 (06:36:25),jl. parmuka raya dari tl utan kayu sd tl matraman jaktim., , 
14,25-Jun-2022 (16:50:38),traffic light taman mini square jakarta timur , , ramai lancar
15,25-Jun-2022 (09:02:00),traffic light pasar rebo jaktim. #operasipatuhjaya2022, , 
16,25-Jun-2022 (06:40:39),jl. raya bekasi , arah pulogadung., 
17,24-Jun-2022 (09:37:15),traffic light halte cawang otista jaktim @skornewsonline, , 
18,24-Jun-2022 (06:40:33),traffic light cijantung jaktim, , 
19,24-Jun-2022 (06:27:35),traffic light rindam jaktim, , 
20,24-Jun-2022 (06:03:46),jl. raya bekasi - cakung , arah ke jakarta., 
21,23-Jun-2022 (09:42:28),traffic light pgc cililitan jaktim , arah jl. raya bogor , ramai lancar.
22,23-Jun-2022 (09:32:14),traffic light halim lama jl. d.i panjaitan jaktim , , ramai lancar.
23,23-Jun-2022 (06:55:11),jl. pramuka raya jakarta timur., , 
24,23-Jun-2022 (06:11:16),jl. di. panjaitan., , 
25,22-Jun-2022 (21:04:26),jl. di. panjaitan jatinegara jaktim., , 
26,22-Jun-2022 (12:56:03),traffic light raden inten kalimalang jaktim , arah bekasi maupun arah cawang , ramai lancar.
27,22-Jun-2022 (10:50:40),jl. komarudin cakung jaktim., , 
28,22-Jun-2022 (09:52:06),jl. raya pondok gede no.36 cipayung jaktim, , 
29,22-Jun-2022 (08:57:40),jl. pramuka raya., , 
30,22-Jun-2022 (06:11:49),jl. sri sultan hamengkubuwono cakung jakarta timur. #opskepolisianpatuhjaya2022, , 
31,21-Jun-2022 (16:56:11),traffic light kalimalang jaktim , arah bekasi maupun arah cawang , ramai lancar.
32,21-Jun-2022 (12:19:23),traffic light pintu 1 tmii jaktim , arah cilangkap maupun arah kampung rambutan , ramai lancar.
33,21-Jun-2022 (11:08:43),traffic light pramuka jaktim dengan membentang spanduk dan membagikan masker &amp; brosur kepada masyarakat pengguna jalan., , 
34,21-Jun-2022 (07:45:00),jl. pramuka raya matraman jaktim., , 
35,21-Jun-2022 (07:31:14),traffic light halim lama jaktim dari arah kalimalang , arah jl. d.i panjaitan cawang , ramai lancar.
36,21-Jun-2022 (07:14:14),traffic light pintu 1 tmii jaktim , arah cilangkap maupun arah kampung rambutan , ramai lancar.
37,21-Jun-2022 (06:44:55),jl. pramuka raya matraman jaktim., , 
38,21-Jun-2022 (06:18:41),jl. raya bekasi , arah pulogadung., 
39,20-Jun-2022 (18:05:08),jl. raya bekasi , arah pulogadung., 
40,20-Jun-2022 (11:42:23),traffic light halim baru jaktim.. #opspatuhjaya2022, , 
41,20-Jun-2022 (11:29:55),traffic light utan kayu jaktim., , 
42,20-Jun-2022 (11:17:57),traffic light taman mini square jakarta timur , , lancar
43,20-Jun-2022 (09:23:54),traffic light taman mini square jakarta timur , , ramai lancar
44,20-Jun-2022 (09:07:30),jl. d.i panjaitan jaktim , arah cipinang maupun arah kalimalang , ramai lancar.
45,20-Jun-2022 (07:10:30),traffic light garuda (tamini square) jaktim , , padat.
46,19-Jun-2022 (16:55:00),traffic light pgc cililitan jaktim , arah jl. raya bogor , ramai lancar.
47,19-Jun-2022 (08:32:59),traffic light pasar rebo jaktim yg akan dilaksanakan pada tanggal 13 s/d 26 juni 2022., , 
48,19-Jun-2022 (06:31:51),traffic light garuda taman mini jaktim., , 
49,18-Jun-2022 (16:11:25),traffic light rindam jl. tb simatupang jaktim , arah pasar rebo , ramai lancar.
50,18-Jun-2022 (15:54:24),traffic light arion jl. pemuda rawamangun jaktim , , ramai lancar.
51,18-Jun-2022 (05:37:59),jl. mt haryono cawang jaktim , arah pancoran , ramai lancar.
52,17-Jun-2022 (17:55:44),jl. parmuka raya dari tl utan kayu sd tl matraman matraman jakarta timur terkait penambahan titik ruas jalan penerapan kebijakan gage., , 
53,17-Jun-2022 (16:56:07),traffic light taman mini square jakarta timur , , lancar
54,17-Jun-2022 (13:46:11),traffic light caglak , arah pasar rebo jaktim , ramai lancar.
55,17-Jun-2022 (13:08:38),jl. pramuka raya jaktim., , 
56,17-Jun-2022 (09:05:32),jl. pramuka raya s/d jl. matraman jakarta timur., , 
57,17-Jun-2022 (08:41:30),traffic light taman mini square jakarta timur , , ramai lancar
58,17-Jun-2022 (08:04:29),jl. pramuka - matraman jaktim, , 
59,17-Jun-2022 (06:23:06),jl. pramuka raya jaktim, , 
60,16-Jun-2022 (19:16:00),traffic light raden inten kalimalang jaktim , , ramai lancar.
61,16-Jun-2022 (16:28:43),traffic light taman mini square jakarta timur , , ramai lancar
62,16-Jun-2022 (10:33:21),traffic light pupar jl.raya bekasi jakarta timur , , ramai lancar
63,16-Jun-2022 (10:18:32),jl. raya bekasi cakung jaktim , arah jakarta , padat.
64,16-Jun-2022 (06:16:35),traffic light utan kayu jaktim , arah matraman maupun arah rawamangun , ramai lancar.
65,15-Jun-2022 (10:56:41),jl. mt haryono cawang jaktim , arah pancoran , ramai lancar.
66,15-Jun-2022 (09:43:54),jl. cililitan besar jakarta timur., , 
67,15-Jun-2022 (06:46:32),traffic light taman mini square jakarta timur , , ramai lancar
68,15-Jun-2022 (06:27:03),"jl. raya bekasi (samping pos lantas cakung), bagi pengguna jalan diimbau agar berhati-hati.", , 
69,15-Jun-2022 (06:23:36),traffic light halim baru jaktim , arah pancoran , padat.
70,14-Jun-2022 (12:37:13),traffic light matraman jaktim , arah jatinegara , ramai lancar.
71,14-Jun-2022 (12:29:35),traffic light rindam jl. tb simatupang jaktim , arah pasar rebo , ramai lancar.
72,14-Jun-2022 (10:38:38),jl. mt haryono cawang jaktim (depan rs otak) ," arah pancoran, saat ini sedang dalam penanganan, situasi arus lalu lintas mengalami tersendat.", 
73,14-Jun-2022 (10:18:40),traffic light kolong cakung jaktim , , ramai lancar.
74,14-Jun-2022 (06:06:51),traffic light utan kayu jaktim , arah matraman , lancar.
75,13-Jun-2022 (13:57:53),traffic light taman mini square jakarta timur , , ramai lancar
76,13-Jun-2022 (13:48:29),jl. otista raya jakarta timur., , 
77,13-Jun-2022 (10:22:22),traffic light taman mini square jakarta timur , , ramai lancar
78,13-Jun-2022 (09:32:55),jl. buperta cibubur jaktim., , 
79,13-Jun-2022 (06:22:09),jl. jenderal sudirman., , 
80,12-Jun-2022 (09:22:34),traffic light garuda taman mini jaktim , , ramai lancar.
81,12-Jun-2022 (05:50:47),traffic light garuda tamini square jaktim , arah cilangkap maupun arah ruas tol jagorawi , ramai lancar.
82,11-Jun-2022 (13:25:36),jl. pemuda jaktim mulai jl. tugas s/d jl. arion, , 
83,11-Jun-2022 (06:07:38),jl. pemuda jaktim., , 
84,10-Jun-2022 (21:43:20),traffic light taman mini squre jakarta timur , , lancar
85,10-Jun-2022 (19:33:00),traffic light taman mini square jakarta timur , , ramai lancar
86,10-Jun-2022 (17:05:21),traffic light taman mini square jakarta timur , , ramai lancar
87,10-Jun-2022 (16:10:00),traffic light caglak jl. tb simatupang jaktim , , ramai lancar.
88,10-Jun-2022 (10:12:00),traffic light pgc cililitan jakarta timur , , lancar
89,10-Jun-2022 (10:01:00),traffic light pgc cililitan jaktim , arah jl. raya bogor maupun arah cawang , ramai lancar.
90,10-Jun-2022 (09:44:41),traffic light pasar rebo jaktim , arah jl. tb simatupang maupun arah kampung rambutan , ramai lancar.
91,10-Jun-2022 (09:39:09),traffic light raden inten kalimalang jaktim , ," padat, cuaca saat ini hujan, bagi pengguna jalan diimbau agar berhati-hati."
92,10-Jun-2022 (06:17:19),jl. raya kalimalang jaktim , , ramai lancar.
93,09-Jun-2022 (08:57:12),jl. d.i panjaitan jaktim , arah cipinang maupun arah kalimalang , ramai lancar.
94,09-Jun-2022 (07:02:40),jl. raya kalimalang jaktim , arah bekasi maupun arah cawang , ramai lancar.
95,09-Jun-2022 (06:49:03),"jl. raya bekasi km 23,5 kel cakung timur kec. cakung jaktim.", , 
96,09-Jun-2022 (06:26:22),jl. h naman jakarta timur , , lancar.
97,09-Jun-2022 (06:00:00),jl. raya kalimalang jaktim , arah bekasi , ramai lancar.
98,08-Jun-2022 (11:24:57),jl. raya bogor ciracas jaktim., , 
99,08-Jun-2022 (09:35:34),jl. raya kalimalang duren sawit jakarta timur., , 
100,08-Jun-2022 (05:50:20),jl. raya bogor jaktim arah ps. rebo &amp; bogor , , lancar
101,07-Jun-2022 (22:12:52),jl. d.i panjaitan jaktim , arah cipinang maupun arah kalimalang , ramai lancar.
102,07-Jun-2022 (17:22:00),jl. raya kalimalang jaktim , arah bekasi , padat.
103,07-Jun-2022 (16:39:00),traffic light cawang interchange jakarta timur , , ramai lancar.
104,07-Jun-2022 (10:02:37),jl. basuki rahmat cipinang jatinegara jaktim, , 
105,07-Jun-2022 (06:43:55),jl. basuki rahmat dari arah bekasi , casablanca agar mencari jalur alternatif lain., 
106,06-Jun-2022 (15:24:25),traffic light mcd jl.kolonel sugiono bkt kecamatan duren sawit jakarta timur, , 
107,06-Jun-2022 (13:35:45),traffic light caglak , arah pasar rebo jaktim , ramai lancar.
108,06-Jun-2022 (11:53:21),traffic light matraman jaktim , arah jatinegara , ramai lancar.
109,06-Jun-2022 (11:19:55),jl. mt haryono jaktim , arah pancoran , ramai lancar.
110,06-Jun-2022 (10:32:06),traffic light rindam jl. tb simatupang jaktim , arah pasar rebo , ramai lancar.
111,06-Jun-2022 (06:16:07),jl. raya bogor pasar rebo., , 
112,06-Jun-2022 (05:48:17),jl. raya bekasi cakung jaktim., , 
113,05-Jun-2022 (11:39:59),jl. d.i panjaitan jaktim , arah cipinang maupun arah kalimalang , ramai lancar.
114,05-Jun-2022 (06:19:40),traffic light kupar cakung jaktim dari arah bekasi , arah jakarta , padat.
115,04-Jun-2022 (09:24:00),jl. mt haryono cawang jaktim , arah semanggi , ramai lancar.
116,04-Jun-2022 (05:55:48),jl. basuki rahmat , jl. di. panjaitan dikarenakan adanya pemgerjaan proyek tol becakayu., 
117,03-Jun-2022 (10:32:56),traffic light mcdonald duren sawit jakarta timur., , 
118,03-Jun-2022 (09:10:45),jl. kolonel sugiono ( bkt ) kec. duren sawit jaktim., , 
119,03-Jun-2022 (07:56:00),jl. d.i panjaitan prumpung jaktim ," arah jl. ahmad yani, saat ini sedang dalam penanganan oleh petugas.", 
120,03-Jun-2022 (07:40:34),traffic light mcdonald duren sawit jakarta timur., , 
121,03-Jun-2022 (06:59:58),jl. basuki rahmat , jl. di. panjaitan dikarenakan adanya pengerjaan proyek tol becakayu., 
122,03-Jun-2022 (05:43:46),traffic light mcdonald duren sawit jakarta timur., , 
123,02-Jun-2022 (11:43:16),traffic light utan kayu jaktim , , ramai lancar.
124,02-Jun-2022 (10:26:27),"jl. tb.simatupang pasar rebo jakarta timur, selanjutnya dibawa ke rs budi asih.", , 
125,02-Jun-2022 (06:01:27),jl. rs soekanto ( bkt ) kec. duren sawit jakarta timur., , 
126,01-Jun-2022 (20:15:40),traffic light arion jl.pemuda jakarta timur , , ramai lancar
127,01-Jun-2022 (09:38:09),jl. mt haryono jaktim , arah semanggi , ramai lancar.
128,31-May-2022 (12:12:08),jl. slamet riyadi jaktim., , 
